hari_ke;tanggal;total_kasus;kasus_baru;total_kematian;kematian_baru;total_sembuh;sembuh_baru;kasus_aktif;DR;RR;CAR
1;02/03/2020;2;2;0;0;0;0;2;0;0;1
2;03/03/2020;2;0;0;0;0;0;2;0;0;1
3;04/03/2020;2;0;0;0;0;0;2;0;0;1
4;05/03/2020;2;0;0;0;0;0;2;0;0;1
5;06/03/2020;4;2;0;0;0;0;4;0;0;1
6;07/03/2020;4;0;0;0;0;0;4;0;0;1
7;08/03/2020;6;2;0;0;0;0;6;0;0;1
8;09/03/2020;6;0;0;0;0;0;6;0;0;1
9;10/03/2020;19;13;0;0;0;0;19;0;0;1
10;11/03/2020;27;8;0;0;0;0;27;0;0;1
11;12/03/2020;34;7;1;1;2;2;31;0.0294;0.0588;0.9118
12;13/03/2020;69;35;4;3;5;3;60;0.058;0.0725;0.8696
13;14/03/2020;96;27;5;1;8;3;83;0.0521;0.0833;0.8646
14;15/03/2020;117;21;5;0;8;0;104;0.0427;0.0684;0.8889
15;16/03/2020;134;17;5;0;8;0;121;0.0373;0.0597;0.903
16;17/03/2020;172;38;5;0;9;1;158;0.0291;0.0523;0.9186
17;18/03/2020;227;55;19;14;11;2;197;0.0837;0.0485;0.8678
18;19/03/2020;309;82;25;6;15;4;269;0.0809;0.0485;0.8706
19;20/03/2020;369;60;32;7;16;1;320;0.0867;0.0434;0.8672
20;21/03/2020;450;81;38;6;20;4;392;0.0844;0.0444;0.8711
21;22/03/2020;514;64;48;10;29;9;436;0.0934;0.0564;0.8482
22;23/03/2020;579;65;49;1;30;1;499;0.0846;0.0518;0.8618
23;24/03/2020;686;107;55;6;30;0;600;0.0802;0.0437;0.8746
24;25/03/2020;790;104;58;3;31;1;700;0.0734;0.0392;0.8861
25;26/03/2020;893;103;78;20;35;4;779;0.0873;0.0392;0.8723
26;27/03/2020;1046;153;87;9;46;11;912;0.0832;0.044;0.8719
27;28/03/2020;1155;109;102;15;59;13;994;0.0883;0.0511;0.8606
28;29/03/2020;1285;130;114;12;64;5;1107;0.0887;0.0498;0.8615
29;30/03/2020;1414;129;122;8;75;11;1217;0.0863;0.053;0.8607
30;31/03/2020;1528;114;136;14;81;6;1311;0.089;0.053;0.858
31;01/04/2020;1677;149;157;21;103;22;1417;0.0936;0.0614;0.845
32;02/04/2020;1790;113;170;13;112;9;1508;0.095;0.0626;0.8425
33;03/04/2020;1986;196;181;11;134;22;1671;0.0911;0.0675;0.8414
34;04/04/2020;2092;106;191;10;150;16;1751;0.0913;0.0717;0.837
35;05/04/2020;2273;181;198;7;164;14;1911;0.0871;0.0722;0.8407
36;06/04/2020;2491;218;209;11;192;28;2090;0.0839;0.0771;0.839
37;07/04/2020;2738;247;221;12;204;12;2313;0.0807;0.0745;0.8448
38;08/04/2020;2956;218;240;19;222;18;2494;0.0812;0.0751;0.8437
39;09/04/2020;3293;337;280;40;252;30;2761;0.085;0.0765;0.8384
40;10/04/2020;3512;219;306;26;282;30;2924;0.0871;0.0803;0.8326
